century,tried,gadm.adm0
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,2,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,2,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,2,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,1,Belgium
1600,27,France
1600,1,France
1600,2,France
1600,1,France
1600,2,France
1600,18,France
1600,1,France
1600,1,France
1600,8,France
1600,1,France
1600,1,France
1600,1,France
1600,1,France
1600,1,France
1600,1,France
1600,160,France
1600,160,France
1600,6,France
1600,1,France
1600,1,France
1600,1,France
1600,1,France
1600,1,France
1600,1,France
1600,1,France
1600,1,Belgium
1600,4,France
1600,1,France
1600,1,France
1600,1,France
1600,1,France
1600,200,France
1600,1,France
1600,1,Ireland
1600,1,United Kingdom
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,7,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,11,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,11,Germany
1600,4,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,20,Germany
1600,3,Germany
1600,3,Germany
1600,1,Germany
1600,11,Germany
1600,4,Germany
1600,19,Germany
1600,74,Germany
1600,53,Germany
1600,1,Germany
1600,110,Germany
1600,2,Germany
1600,7,Germany
1600,1,Germany
1600,1,Germany
1600,39,Germany
1600,12,Germany
1600,2,Germany
1600,36,Germany
1600,87,Germany
1600,12,Germany
1600,8,Germany
1600,11,Germany
1600,13,Germany
1600,1,Germany
1600,18,Germany
1600,1,Germany
1600,54,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,8,Germany
1600,5,Germany
1600,24,Germany
1600,5,Germany
1600,14,Germany
1600,1,Germany
1600,1,Germany
1600,14,Germany
1600,2,Germany
1600,10,Germany
1600,8,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,6,Germany
1600,1,Germany
1600,2,Germany
1600,6,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,10,Germany
1600,1,Germany
1600,1,Germany
1600,4,Germany
1600,8,Germany
1600,1,Germany
1600,5,Germany
1600,3,Germany
1600,1,Germany
1600,4,Germany
1600,7,Germany
1600,2,Germany
1600,10,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,5,Germany
1600,4,Germany
1600,25,Germany
1600,18,Germany
1600,8,Germany
1600,8,Germany
1600,27,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,14,Germany
1600,2,Germany
1600,9,Germany
1600,8,Germany
1600,6,Germany
1600,3,Germany
1600,3,Germany
1600,1,Germany
1600,4,Germany
1600,15,Germany
1600,1,Germany
1600,12,Germany
1600,4,Germany
1600,5,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,2,Germany
1600,1,Germany
1600,6,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,4,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,6,Germany
1600,6,Germany
1600,6,Germany
1600,6,Germany
1600,72,Germany
1600,72,Germany
1600,17,Germany
1600,17,Germany
1600,4,Germany
1600,4,Germany
1600,6,Germany
1600,6,Germany
1600,3,Luxembourg
1600,9,Luxembourg
1600,2,Luxembourg
1600,2,Luxembourg
1600,2,Luxembourg
1600,2,Luxembourg
1600,26,Luxembourg
1600,10,Luxembourg
1600,10,Luxembourg
1600,35,Luxembourg
1600,35,Luxembourg
1600,2,Luxembourg
1600,2,Luxembourg
1600,22,France
1600,22,France
1600,22,France
1600,22,France
1600,22,France
1600,13,France
1600,13,France
1600,13,France
1600,13,France
1600,13,France
1600,13,Germany
1600,8,Belgium
1600,5,Belgium
1600,4,Belgium
1600,2,Belgium
1600,2,Belgium
1600,1,Belgium
1600,3,Belgium
1600,2,Belgium
1600,1,Belgium
1600,7,Belgium
1600,4,Belgium
1600,2,Belgium
1600,1,Belgium
1600,7,Belgium
1600,4,Belgium
1600,2,Belgium
1600,2,Belgium
1600,2,Belgium
1600,3,Belgium
1600,8,Belgium
1600,2,Belgium
1600,5,Belgium
1600,12,Belgium
1600,3,Belgium
1600,16,Belgium
1600,2,Belgium
1600,2,Belgium
1600,2,Belgium
1600,3,Belgium
1600,8,Belgium
1600,2,Belgium
